"id","categoria","afirmacao","origem","evidencia","confianca","uso_recomendado","observacoes"
"E012","case","Val Fortunatto — Brand Transition é um case público do portfólio.","src/data/cases.js","Brand Transition: Uma transição de marca construída pela curadoria, pela imagem e pela sofisticação do desejo.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E013","case","Val Fortunatto Linho — Produto Próprio é um case público do portfólio.","src/data/cases.js","Desenvolvimento de Coleção: Quando uma multimarca transforma confiança em produto próprio.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E014","case","Ateliê Bambini — Arquitetura de Marca Infantil é um case público do portfólio.","src/data/cases.js","Brand Creation: A construção de um novo universo para a infância contemporânea.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E015","case","R Lovers — Calendário Comercial é um case público do portfólio.","src/data/cases.js","Retail Campaign: A arquitetura afetiva da conversão orientada por produtos-chave.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E016","case","PORTI — Expansão Física & Cenografia é um case público do portfólio.","src/data/cases.js","Store Experience: A construção física, técnica e cenográfica de uma marca em expansão.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E017","case","HEXA — Copa do Mundo · Reserva é um case público do portfólio.","src/data/cases.js","Campanha Sazonal: A tradução do imaginário do futebol brasileiro para o varejo contemporâneo.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E018","case","Campanhas & Collabs é um case público do portfólio.","src/data/cases.js","Brand Collaboration: A complexa fusão de universos de marca, cultura e entretenimento no varejo físico.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E019","case","Rouge & Gold — Exposição Premium é um case público do portfólio.","src/data/cases.js","Retail Strategy: Reestruturação estratégica da leitura visual por meio de cor e cenografia de luz.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E020","case","Outerwear — Hotspots & Color Blocking é um case público do portfólio.","src/data/cases.js","Comportamento de Consumo: Construir pontos de calor visual para fazer o cliente parar, olhar e desejar.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E021","case","Vintage Denim — Cápsula Heritage é um case público do portfólio.","src/data/cases.js","Cenografia de Produto: Uma cápsula de produto transformada em ambiente autêntico de memória e coleção.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E022","case","Paraíso Tropical — Mata Atlântica é um case público do portfólio.","src/data/cases.js","Lançamento de Coleção: A força gráfica da Mata Atlântica como contraponto inteligente ao verão óbvio.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E023","case","Provence Raiz — Sistema Visual e Direção Criativa é um case público do portfólio.","src/data/cases.js","Evento como Sistema Visual: Um evento tratado como sistema de linguagem: identidade, atmosfera, arquitetura, matéria, flor e experiência trabalhando como uma comunicação 360 graus.","alto","revisar","Não afirmar ano, métrica ou resultado quantitativo sem prova."
"E024","artigo","A gramática invisível da marca é artigo da Biblioteca.","src/sistemaArticleCards.js","Antes da vitrine, antes da arara e antes da luz, existe uma pergunta mais funda: que marca este espaço está tentando confirmar?","alto","publicar",""
"E025","artigo","A edição que dá valor à escolha é artigo da Biblioteca.","src/sistemaArticleCards.js","Curadoria não é tirar peças para parecer sofisticado; é retirar o ruído que impede a escolha de ganhar sentido.","alto","publicar",""
"E026","artigo","A loja como argumento é artigo da Biblioteca.","src/sistemaArticleCards.js","O espaço não é fundo para o produto; é a linguagem física que decide como a marca será atravessada.","alto","publicar",""
"E027","artigo","O valor que o corpo reconhece é artigo da Biblioteca.","src/sistemaArticleCards.js","Valor percebido nasce quando luz, textura, peso, som e silêncio fazem o corpo acreditar na promessa da marca.","alto","publicar",""
"E028","artigo","A disciplina que sustenta a forma é artigo da Biblioteca.","src/sistemaArticleCards.js","Uma ideia só vira marca quando encontra processo suficiente para sobreviver ao uso, ao tempo e à rotina.","alto","publicar",""
"E029","artigo","A coreografia do desejo é artigo da Biblioteca.","src/sistemaArticleCards.js","Desejo não nasce em um ponto; ele se aproxima, encontra sinais, recebe confirmações e permanece como memória.","alto","publicar",""
