"arquivo_origem","tipo","dimensoes","proporcao","transparencia","contexto_no_site","uso_sugerido","recorte_necessario","risco_de_direitos","observacoes"
"public/images/01_VAL_FORTUNATTO/SP_CASE01_VALFORTUNATTO_03.png","imagem","1126x1397","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/01_VAL_FORTUNATTO/SP_CASE01_VALFORTUNATTO_05.png","imagem","1662x946","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/01_VAL_FORTUNATTO/SP_CASE01_VALFORTUNATTO_06.png","imagem","1672x941","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/01_VAL_FORTUNATTO/SP_CASE01_VALFORTUNATTO_07.png","imagem","1023x1537","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/01_VAL_FORTUNATTO/SP_CASE01_VALFORTUNATTO_08.png","imagem","1672x941","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/01_VAL_FORTUNATTO/SP_CASE01_VALFORTUNATTO_09.png","imagem","1122x1402","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/02_VAL_FORTUNATTO_LINHO/SP_CASE02_LINHO_01.png","imagem","1788x2234","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/02_VAL_FORTUNATTO_LINHO/SP_CASE02_LINHO_02.png","imagem","1788x2682","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/02_VAL_FORTUNATTO_LINHO/SP_CASE02_LINHO_03.png","imagem","1788x2682","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/02_VAL_FORTUNATTO_LINHO/SP_CASE02_LINHO_04.png","imagem","1788x2682","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/02_VAL_FORTUNATTO_LINHO/SP_CASE02_LINHO_05.png","imagem","1788x2682","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/02_VAL_FORTUNATTO_LINHO/SP_CASE02_LINHO_06.png","imagem","1788x2682","","possível","Val Fortunatto","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/03_ATELIE_BAMBINI/SP_CASE03_ATELIEBAMBINI_01.png","imagem","1788x1788","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/03_ATELIE_BAMBINI/SP_CASE03_ATELIEBAMBINI_02.png","imagem","1788x1788","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/03_ATELIE_BAMBINI/SP_CASE03_ATELIEBAMBINI_03.png","imagem","1788x1788","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/03_ATELIE_BAMBINI/SP_CASE03_ATELIEBAMBINI_04.png","imagem","512x512","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/03_ATELIE_BAMBINI/SP_CASE03_ATELIEBAMBINI_05.png","imagem","1788x1788","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/03_ATELIE_BAMBINI/SP_CASE03_ATELIEBAMBINI_06.png","imagem","512x512","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/04_R_LOVERS/SP_CASE04_RLOVERS_01.png","imagem","750x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/04_R_LOVERS/SP_CASE04_RLOVERS_02.png","imagem","750x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/04_R_LOVERS/SP_CASE04_RLOVERS_03.png","imagem","750x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/04_R_LOVERS/SP_CASE04_RLOVERS_04.png","imagem","750x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/04_R_LOVERS/SP_CASE04_RLOVERS_05.png","imagem","694x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_NATAL/SP_CASE05_PORTI_NATAL_01.png","imagem","1375x1144","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_NATAL/SP_CASE05_PORTI_NATAL_02.png","imagem","941x1672","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_NATAL/SP_CASE05_PORTI_NATAL_03.png","imagem","1122x1402","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_NATAL/SP_CASE05_PORTI_NATAL_04.png","imagem","1305x1205","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_PRIMAVERA/SP_CASE05_PORTI_PRIMAVERA_01.png","imagem","1788x1788","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_PRIMAVERA/SP_CASE05_PORTI_PRIMAVERA_02.png","imagem","1788x2234","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_PRIMAVERA/SP_CASE05_PORTI_PRIMAVERA_03.png","imagem","1788x2384","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_PRIMAVERA/SP_CASE05_PORTI_PRIMAVERA_04.png","imagem","1788x2384","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_PRIMAVERA/SP_CASE05_PORTI_PRIMAVERA_05.png","imagem","1788x2384","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_PRIMAVERA/SP_CASE05_PORTI_PRIMAVERA_06.png","imagem","1788x2384","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_VERAO/SP_CASE05_PORTI_VERAO_01.png","imagem","1536x1024","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_VERAO/SP_CASE05_PORTI_VERAO_02.png","imagem","1024x1536","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_VERAO/SP_CASE05_PORTI_VERAO_03.png","imagem","1024x1536","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_VERAO/SP_CASE05_PORTI_VERAO_04.png","imagem","486x635","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_VERAO/SP_CASE05_PORTI_VERAO_05.png","imagem","1024x1536","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/05_PORTI_VERAO/SP_CASE05_PORTI_VERAO_06.png","imagem","434x498","","possível","Porti","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/06_HEXA/SP_CASE06_HEXA_01.png","imagem","849x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/06_HEXA/SP_CASE06_HEXA_02.png","imagem","801x1001","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/06_HEXA/SP_CASE06_HEXA_03.png","imagem","875x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_BASQUIAT_01.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_BASQUIAT_02.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_BASQUIAT_03.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_MANGUEIRA_01.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_MANGUEIRA_02.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_MANGUEIRA_03.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_NETFLIX_01.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_NETFLIX_02.png","imagem","1000x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/07_CAMPANHAS_COLLABS/SP_CASE07_COLLABS_NETFLIX_03.png","imagem","750x1000","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","revisar marcas de terceiros","preservar original; usar cópia"
"public/images/08_ROUGE_GOLD/SP_CASE08_ROUGE_GOLD_01.png","imagem","1554x2760","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/08_ROUGE_GOLD/SP_CASE08_ROUGE_GOLD_02.png","imagem","1672x941","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/08_ROUGE_GOLD/SP_CASE08_ROUGE_GOLD_03.png","imagem","1024x1536","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/08_ROUGE_GOLD/SP_CASE08_ROUGE_GOLD_04.png","imagem","1024x1536","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/08_ROUGE_GOLD/SP_CASE08_ROUGE_GOLD_05.png","imagem","341x512","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/09_OUTERWEAR/SP_CASE09_OUTERWEAR_01.png","imagem","1122x1402","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/09_OUTERWEAR/SP_CASE09_OUTERWEAR_02.png","imagem","856x1838","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/09_OUTERWEAR/SP_CASE09_OUTERWEAR_03.png","imagem","1086x1448","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/10_VINTAGE_DENIM/SP_CASE10_VINTAGE_DENIM_01.png","imagem","1448x1086","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/10_VINTAGE_DENIM/SP_CASE10_VINTAGE_DENIM_02.png","imagem","1086x1448","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/10_VINTAGE_DENIM/SP_CASE10_VINTAGE_DENIM_03.png","imagem","1086x1448","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/11_PARAISO_TROPICAL/SP_CASE11_PARAISO_TROPICAL_01.png","imagem","1788x1342","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/11_PARAISO_TROPICAL/SP_CASE11_PARAISO_TROPICAL_02.png","imagem","1788x1266","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/11_PARAISO_TROPICAL/SP_CASE11_PARAISO_TROPICAL_03.png","imagem","1788x1788","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/11_PARAISO_TROPICAL/SP_CASE11_PARAISO_TROPICAL_04.png","imagem","1788x1788","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/11_PARAISO_TROPICAL/SP_CASE11_PARAISO_TROPICAL_05.png","imagem","1788x1788","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-logo.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-logo.png.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-signature.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-signature.png.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-symbol black.png.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-symbol whith .png.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-symbol-black.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/12_LOGO/samuel-paes-symbol-white.png","logotipo/simbolo","1254x1254","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/13_VISAO/about-transition.png","imagem","1942x809","","possível","Portfólio","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/hero-mural-toile-de-jouy-provence-raiz.jpg","imagem","1536x1152","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/logo-verdeburgo-eventos.png","logotipo/simbolo","578x578","","possível","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/prancha-tecnica-luminaria-cenografica-suspensa.jpg","imagem","1536x1024","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/prancha-tecnica-luminaria-pendulo-carretel.jpg","imagem","1491x1055","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/prancha-tecnica-pilastras-cenograficas-altar.jpg","imagem","1491x1055","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-bar-hospitalidade-toile-lavanda.jpg","imagem","1020x1020","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-bar-toile-pinheiros-luminarias.jpg","imagem","1020x678","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-cerimonia-passarela-altar.jpg","imagem","1020x1532","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-escada-cascata-floral.jpg","imagem","1333x2000","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-estudo-floral-volume-natural.jpg","imagem","1800x1013","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-lounge-residencial-linho-azul.jpg","imagem","1900x1069","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-mesa-bolo-toile-lustres.jpg","imagem","1900x1069","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-moodboard-cerimonia.jpg","imagem","1774x1600","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
"public/images/14_VERDEBURGO/PROVENCE_RAIZ/02_WEB/provence-raiz-moodboard-lounge.jpg","imagem","1800x1237","","não","Provence Raiz","apoio visual para LinkedIn","validar recorte desktop/mobile","baixo se usado no contexto público do site","preservar original; usar cópia"
